iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,8,
1000,-1.0,2.0,11,
1500,-0.88,2.12,8,
2000,-1.0,2.0,8,
2500,-1.0,2.0,8,
3000,-1.0,2.0,11,
3500,-1.0,2.0,11,
4000,-1.0,2.0,10,
4500,-1.0,2.0,10,
5000,-1.0,2.0,11,
5500,-1.0,2.0,8,
6000,-0.89,2.11,9,
6500,-1.0,2.0,9,
7000,-0.9,2.1,10,
7500,-1.0,2.0,8,
8000,-1.0,2.0,10,
8500,-1.0,2.0,9,
9000,-1.0,2.0,10,
9500,-1.0,2.0,9,
10000,-1.0,2.0,13,
10500,-1.0,2.0,8,
11000,-1.0,2.0,10,
11500,-1.0,2.0,11,
12000,-1.0,2.0,9,
12500,-1.0,2.0,8,
13000,-1.0,2.0,8,
13500,-1.0,2.0,9,
14000,-1.0,2.0,10,
14500,-1.0,2.0,10,
15000,-1.0,2.0,10,
15500,-1.0,2.0,8,
16000,-1.0,2.0,9,
16500,-1.0,2.0,10,
17000,-1.0,2.0,10,
17500,-1.0,2.0,12,
18000,-1.0,2.0,9,
18500,-1.0,2.0,10,
19000,-1.0,2.0,9,
19500,-0.7,2.3,10,
20000,-1.0,2.0,8,
20500,-1.0,2.0,8,
21000,-1.0,2.0,8,
21500,-1.0,2.0,9,
22000,-1.0,2.0,9,
22500,-1.0,2.0,10,
23000,-1.0,2.0,8,
23500,-0.88,2.12,8,
24000,-0.89,2.11,9,
24500,-0.9,2.1,10,
25000,-1.0,2.0,8,
25500,-1.0,2.0,8,
26000,-1.0,2.0,8,
26500,-1.0,2.0,10,
27000,-1.0,2.0,9,
27500,-1.0,2.0,9,
28000,-1.0,2.0,8,
28500,-1.0,2.0,8,
29000,-0.89,2.11,9,
29500,-1.0,2.0,9,
30000,-1.0,2.0,8,
30500,-0.88,2.12,8,
31000,-1.0,2.0,9,
31500,-1.0,2.0,9,
32000,-1.0,2.0,9,
32500,-1.0,2.0,9,
33000,-1.0,2.0,9,
33500,-1.0,2.0,8,
34000,-1.0,2.0,10,
34500,-1.0,2.0,10,
35000,-1.0,2.0,10,
35500,-1.0,2.0,8,
36000,-1.0,2.0,9,
36500,-1.0,2.0,8,
37000,-1.0,2.0,9,
37500,-1.0,2.0,9,
38000,-1.0,2.0,8,
38500,-1.0,2.0,8,
39000,-1.0,2.0,8,
39500,-0.9,2.1,10,
40000,-1.0,2.0,10,
40500,-1.0,2.0,9,
41000,-1.0,2.0,11,
41500,-1.0,2.0,10,
42000,-1.0,2.0,8,
42500,-0.89,2.11,9,
43000,-1.0,2.0,11,
43500,-1.0,2.0,8,
44000,-1.0,2.0,10,
44500,-1.0,2.0,9,
45000,-1.0,2.0,9,
45500,-1.0,2.0,9,
46000,-1.0,2.0,10,
46500,-1.0,2.0,9,
47000,-1.0,2.0,11,
47500,-0.9,2.1,10,
48000,-1.0,2.0,11,
48500,-1.0,2.0,8,
49000,-1.0,2.0,8,
49500,-1.0,2.0,8,
50000,-1.0,2.0,8,
50500,-1.0,2.0,8,
51000,-1.0,2.0,8,
51500,-1.0,2.0,8,
52000,-1.0,2.0,10,
52500,-1.0,2.0,11,
53000,-0.78,2.22,9,
53500,-1.0,2.0,9,
54000,-1.0,2.0,11,
54500,-0.9,2.1,10,
55000,-0.88,2.12,8,
55500,-1.0,2.0,8,
56000,-1.0,2.0,9,
56500,-1.0,2.0,8,
57000,-1.0,2.0,8,
57500,-1.0,2.0,9,
58000,-0.89,2.11,9,
58500,-1.0,2.0,8,
59000,-0.89,2.11,9,
59500,-1.0,2.0,11,
60000,-1.0,2.0,9,
60500,-0.9,2.1,10,
61000,-1.0,2.0,9,
61500,-1.0,2.0,8,
62000,-1.0,2.0,8,
62500,-1.0,2.0,10,
63000,-1.0,2.0,9,
63500,-1.0,2.0,8,
64000,-1.0,2.0,8,
64500,-1.0,2.0,8,
65000,-1.0,2.0,8,
65500,-0.78,2.22,9,
66000,-1.0,2.0,8,
66500,-1.0,2.0,8,
67000,-0.89,2.11,9,
67500,-1.0,2.0,10,
68000,-0.9,2.1,10,
68500,-1.0,2.0,10,
69000,-0.89,2.11,9,
69500,-1.0,2.0,9,
70000,-1.0,2.0,8,
70500,-0.89,2.11,9,
71000,-1.0,2.0,9,
71500,-1.0,2.0,10,
72000,-0.9,2.1,10,
72500,-1.0,2.0,11,
73000,-1.0,2.0,9,
73500,-1.0,2.0,8,
74000,-1.0,2.0,8,
74500,-1.0,2.0,9,
75000,-1.0,2.0,10,
75500,-1.0,2.0,9,
76000,-1.0,2.0,8,
76500,-1.0,2.0,11,
77000,-1.0,2.0,10,
77500,-0.78,2.22,9,
78000,-1.0,2.0,9,
78500,-0.85,2.15,13,
79000,-1.0,2.0,9,
79500,-1.0,2.0,13,
80000,-1.0,2.0,11,
